Year,LEA Name,INDIAN Male,INDIAN Female,ASIAN Male,ASIAN Female,HISPANIC Male,HISPANIC Female,BLACK Male,BLACK Female,WHITE Male,WHITE Female,PACIFIC ISLAND  Male,PACIFIC ISLAND  Female,TWO OR MORE Male,TWO OR MOREFemale,Total
2022,Lee County Schools,016,015,025,025,1829,1791,925,886,1661,1562,003,007,201,213,9159
2022,Lenoir County Schools,004,008,050,033,644,637,1880,1882,1381,1344,002,004,188,145,8202
2022,Lexington City Schools,005,001,047,053,507,518,448,488,300,262,001,006,148,144,2928
2022,Lincoln County Schools,007,011,048,057,716,694,382,317,4316,3964,000,003,324,280,11119
2022,Macon County Schools,005,012,011,016,496,447,018,014,1719,1543,001,002,063,069,4416
2022,Madison County Schools,002,000,002,003,059,049,003,003,1010,950,000,000,033,023,2137
2022,Martin County Schools,001,000,017,005,134,108,661,672,437,412,004,002,054,049,2556
2022,McDowell County Schools,006,006,033,020,447,378,085,103,2296,2015,003,001,146,124,5663
2022,Mitchell County Schools,001,002,004,007,122,099,008,003,740,706,001,000,012,022,1727
2022,Montgomery County Schools,004,002,036,027,661,614,357,305,657,615,004,003,097,069,3451
2022,Moore County Schools,051,042,080,064,1034,937,902,871,4164,3793,008,005,415,385,12751
2022,Mooresville City Schools,010,009,055,058,370,375,541,504,1828,1710,002,001,222,211,5896
2022,Mount Airy City Schools,000,001,013,013,215,184,072,048,553,506,000,000,058,035,1698
2022,Nash-Rocky Mount Schools,036,038,062,062,1039,999,3798,3693,2045,1881,004,007,287,271,14222
2022,New Hanover County Schools,047,027,202,193,2223,2030,2199,2023,7630,7006,017,009,652,585,24843
2022,Newton-Conover City Schools,000,001,116,120,415,400,166,146,630,548,000,000,133,123,2798
2022,Northampton County Schools,000,003,002,000,026,034,544,470,074,045,001,000,030,023,1252
2022,Onslow County Schools,052,044,158,155,2274,2144,2328,2153,7628,7432,056,048,1331,1292,27095
2022,Orange County Schools,002,009,048,064,974,886,485,515,1890,1711,001,000,249,285,7119
2022,Pamlico County Schools,007,002,002,002,055,057,102,110,368,360,000,000,049,054,1168
2022,Pasquotank County Schools,004,005,029,021,251,269,1112,1094,820,822,002,002,160,124,4715
2022,Pender County Schools,014,011,021,036,857,812,620,515,3483,3225,004,001,246,259,10104
2022,Perquimans County Schools,000,001,001,004,032,030,195,196,530,553,000,000,036,044,1622
2022,Person County Schools,009,008,007,009,245,263,665,642,1121,1016,002,001,144,150,4282
2022,Pitt County Schools,025,024,188,169,1504,1425,5430,5296,4188,3800,015,011,642,585,23302
